,Stationsnummer,X-Koordinate,Y-Koordinate,Breitengrad,Längengrad,
01TS0038,01TS0038,514803.7,5442436.6,9.202942665,49.13458177,
01TS0039,01TS0039,514188.06,5441389.99,9.194466135,49.12518166,
01TS0010,01TS0010,514336.99,5440958.32,9.196492064,49.12129518,
01TS0100,01TS0100,514755.45,5446226.56,9.202420063,49.16867485,
01TS0101,01TS0101,514975.09,5443123.95,9.205317757,49.14076057,
01TS0103,01TS0103,515357.33,5441937.54,9.210513269,49.13007897,
01TS0105,01TS0105,517315.03,5442913.93,9.237390491,49.13880987,
01TS0108,01TS0108,517745.65,5442560.21,9.243278699,49.13561575,
01TS0111,01TS0111,515476.42,5444296.96,9.212236313,49.15129975,
01TS0112,01TS0112,515538.34,5444407.8,9.213089725,49.15229523,
01TS0113,01TS0113,515418.99,5444506.13,9.211456759,49.15318274,
01TS0114,01TS0114,515530.84,5444538.05,9.212991895,49.15346706,
01TS0116,01TS0116,515590.52,5444910.1,9.213824753,49.15681225,
01TS0117,01TS0117,513929.51,5443179.76,9.190984223,49.1412872,
01TS0118,01TS0118,512980.51,5443073.81,9.177969364,49.14035493,
01TS0119,01TS0119,512817.42,5443073.48,9.175733318,49.14035539,
01TS0012,01TS0012,516195.86,5443039.97,9.222051768,49.13997417,
01TS0120,01TS0120,513453.28,5443537.81,9.184466737,49.1445186,
01TS0122,01TS0122,514617.05,5440707.79,9.200321256,49.11903497,
01TS0124,01TS0124,517958.51,5441430.87,9.246146514,49.12545078,
01TS0127,01TS0127,517292.23,5442139.45,9.237044682,49.13184381,
01TS0128,01TS0128,513812.22,5444620.06,9.18942548,49.15424583,
01TS0131,01TS0131,513454.15,5440497.43,9.184377218,49.11716925,
01TS0132,01TS0132,515630.02,5445019.24,9.21437073,49.15779299,
01TS0133,01TS0133,513951.28,5441980.24,9.19124119,49.1304966,
01TS0134,01TS0134,514833.42,5443456.59,9.203387631,49.14375622,
01TS0135,01TS0135,514868.4,5443568.37,9.203871379,49.14476087,
01TS0136,01TS0136,514922.37,5444030.18,9.204628502,49.14891369,
01TS0137,01TS0137,514925.5,5444062.68,9.204672627,49.14920596,
01TS0138,01TS0138,514942.54,5444192.2,9.204911099,49.15037062,
01TS0139,01TS0139,514932.45,5444282.53,9.204776082,49.15118342,
01TS0014,01TS0014,516312.4,5443478.53,9.223667318,49.14391607,
01TS0141,01TS0141,515042.14,5444757.75,9.206298055,49.15545549,
01TS0142,01TS0142,515049.67,5444907.04,9.206406905,49.15679822,
01TS0143,01TS0143,515085.23,5445005.77,9.206898308,49.15768545,
01TS0144,01TS0144,515116.27,5445312.44,9.207335543,49.16044328,
01TS0145,01TS0145,515113.87,5445562,9.207311994,49.16268821,
01TS0146,01TS0146,518285.74,5444425.5,9.250767479,49.15237877,
01TS0147,01TS0147,513469.58,5444406.88,9.184719295,49.15233582,
01TS0148,01TS0148,513386.83,5444525.87,9.183588438,49.15340798,
01TS0015,01TS0015,516299.91,5443605.39,9.223501195,49.14505755,
01TS0151,01TS0151,516226.9,5445806.93,9.22258882,49.16486301,
01TS0152,01TS0152,516104.19,5445030.53,9.220874525,49.15788229,
01TS0153,01TS0153,513500.18,5443712.27,9.185115655,49.1460869,
01TS0158,01TS0158,513870.63,5442688.31,9.190160025,49.13686777,
01TS0159,01TS0159,513432.68,5442538.99,9.184150987,49.13553431,
01TS0016,01TS0016,515844.05,5443029.42,9.217227933,49.13988844,
01TS0161,01TS0161,513625.92,5443499.42,9.186832605,49.14416946,
01TS0162,01TS0162,513314.09,5443785.59,9.18256641,49.1467505,
01TS0163,01TS0163,513126.86,5444023.12,9.180006815,49.14889119,
01TS0166,01TS0166,514000.52,5440260.96,9.191856488,49.11502991,
01TS0167,01TS0167,516352.17,5441273.84,9.224123196,49.12408308,
01TS0169,01TS0169,516799.93,5441337.4,9.2302628,49.12464275,
01TS0017,01TS0017,513343.17,5448247.97,9.183113122,49.18689036,
01TS0170,01TS0170,516375.6,5443044.63,9.224516245,49.14001132,
01TS0172,01TS0172,515472.63,5443076.41,9.212137465,49.1403206,
01TS0173,01TS0173,511971.4,5443107.35,9.164135013,49.14067713,
01TS0880,01TS0880_Hundsbergstraße 49-1,517541.06,5443549.43,9.240517015,49.14451998,
01TS0175,01TS0175,510433.6,5440672.72,9.142987941,49.11880474,
01TS0018,01TS0018,518630.19,5442423.28,9.255398585,49.13435784,
01TS0180,01TS0180,513597.64,5444120.21,9.186465798,49.1497543,
01TS0181,01TS0181,515898.49,5442591.19,9.217957035,49.13594501,
01TS0182,01TS0182,515861.25,5442618.57,9.217447582,49.13619226,
01TS0183,01TS0183,516103.97,5441385.13,9.220725831,49.12509073,
01TS0186,01TS0186,518339.16,5442928.11,9.251431905,49.1389077,
01TS0187,01TS0187,518848.4,5442470.29,9.25839216,49.13477405,
01TS0189,01TS0189,515134.08,5440852.79,9.207412351,49.12032679,
01TS0019,01TS0019,514391.27,5443987.06,9.197344103,49.14853849,
01TS0193,01TS0193,515799.43,5443347.6,9.216628655,49.14275172,
01TS0194,01TS0194,515893.94,5443262.21,9.21792112,49.14198117,
01TS0195,01TS0195,515960.7,5443278,9.218837081,49.14212148,
01TS0198,01TS0198,515128.4,5444481.04,9.207470679,49.15296428,
01TS0020,01TS0020,514487.58,5443812.51,9.198658493,49.14696609,
01TS0201,01TS0201,514613.4,5443358.82,9.200367312,49.14288202,
01TS0202,01TS0202,514681.51,5443771.4,9.20131621,49.14659169,
01TS0203,01TS0203,513941.24,5441383.22,9.191082927,49.12512641,
01TS0204,01TS0204,516133.57,5443605.15,9.221220382,49.14505978,
01TS0205,01TS0205,514209.53,5443276.71,9.194826907,49.14215288,
01TS0206,01TS0206,514376.74,5443557.07,9.197129513,49.14467093,
01TS0207,01TS0207,514410.83,5443610.47,9.197598852,49.14515048,
01TS0879,01TS0879_Karlsruher Straße 19-1,515026.65,5442849.31,9.206014432,49.13828883,
01TS0209,01TS0209,514753.69,5442757.32,9.202268825,49.13746796,
01TS0021,01TS0021,513821.24,5440724.01,9.189415594,49.11919928,
01TS0210,01TS0210,516303.8,5443356.55,9.223544465,49.14281905,
01TS0211,01TS0211,516554,5443329.57,9.226973868,49.14256966,
01TS0212,01TS0212,516610.27,5443366.77,9.227746919,49.14290277,
01TS0214,01TS0214,516908.02,5443293.69,9.231826331,49.14223727,
01TS0215,01TS0215,517151.38,5443266.79,9.235161873,49.14198855,
01TS0216,01TS0216,517226.06,5443266.98,9.236185806,49.14198817,
01TS0217,01TS0217,517251.88,5443318.46,9.236542024,49.14245052,
01TS0218,01TS0218,515603.11,5446400.55,9.214055203,49.17021897,
01TS0220,01TS0220,515199.98,5446289.53,9.208520607,49.16923043,
01TS0221,01TS0221,518273.43,5443233.6,9.2505446,49.14165764,
01TS0222,01TS0222,516041.6,5443236.8,9.219944652,49.14174876,
01TS0223,01TS0223,514883.86,5441404.38,9.204003464,49.12529465,
01TS0224,01TS0224,513550.07,5443942.14,9.185807479,49.14815356,
01TS0225,01TS0225,514560.91,5443646.79,9.199658023,49.14547365,
01TS0229,01TS0229,514881.49,5441133.05,9.20396097,49.122854,
01TS0023,01TS0023,515967.58,5445015.67,9.219000297,49.15775219,
01TS0230,01TS0230,514874.53,5441081.56,9.203863681,49.12239099,
01TS0231,01TS0231,514701.73,5440984.06,9.201491823,49.1215181,
01TS0234,01TS0234,517328.27,5444233.73,9.237628772,49.15068151,
01TS0236,01TS0236,513858.96,5442883.63,9.190006751,49.138625,
01TS0237,01TS0237,516127.08,5443109.43,9.221111553,49.14060079,
01TS0238,01TS0238,514150.59,5442324.59,9.193985359,49.13358959,
01TS0239,01TS0239,514144.37,5442358.94,9.193901297,49.13389873,
01TS0024,01TS0024,516058.72,5445410.33,9.220266043,49.1612999,
01TS0242,01TS0242,513946.74,5442351.95,9.191191815,49.13384037,
01TS0243,01TS0243,515292.35,5442355.29,9.209638395,49.13383839,
01TS0245,01TS0245,515749.66,5444680.61,9.215998373,49.15474385,
01TS0247,01TS0247,511796.12,5443162.15,9.161733434,49.14117347,
01TS0248,01TS0248,513852.31,5446293.4,9.19003287,49.16929715,
01TS0250,01TS0250,513162.61,5442921.8,9.18046107,49.13898367,
01TS0251,01TS0251,512557.17,5442765.03,9.172155566,49.13758614,
01TS0252,01TS0252,514217.09,5443890.21,9.19495221,49.14767135,
01TS0253,01TS0253,514049.26,5443408.02,9.192634036,49.14333775,
01TS0255,01TS0255,514443.47,5443288.17,9.19803485,49.14225051,
01TS0256,01TS0256,515434.39,5442679.23,9.21159797,49.13674879,
01TS0257,01TS0257,514715.05,5445929.34,9.201854978,49.16600224,
01TS0258,01TS0258,514704.6,5440924.29,9.201528979,49.12098038,
01TS0260,01TS0260,514182.21,5442933.27,9.194440239,49.13906415,
01TS0265,01TS0265,515343.25,5446697.03,9.210501581,49.17289245,
01TS0266,01TS0266,515326.22,5446917.64,9.210276345,49.17487732,
